State,District,Year,final_annual
TELANGANA,ADILABAD,1901,1015.974
TELANGANA,ADILABAD,1902,729.042
TELANGANA,ADILABAD,1903,1337.677
TELANGANA,ADILABAD,1904,764.389
TELANGANA,ADILABAD,1905,920.306
TELANGANA,ADILABAD,1906,884.529
TELANGANA,ADILABAD,1907,790.616
TELANGANA,ADILABAD,1908,1094.713
TELANGANA,ADILABAD,1909,777.728
TELANGANA,ADILABAD,1910,1200.866
TELANGANA,ADILABAD,1911,863.264
TELANGANA,ADILABAD,1912,806.693
TELANGANA,ADILABAD,1913,895.184
TELANGANA,ADILABAD,1914,1054.146
TELANGANA,ADILABAD,1915,1017.573
TELANGANA,ADILABAD,1916,1127.122
TELANGANA,ADILABAD,1917,1307.745
TELANGANA,ADILABAD,1918,623.621
TELANGANA,ADILABAD,1919,917.265
TELANGANA,ADILABAD,1920,533.76
TELANGANA,ADILABAD,1921,912.436
TELANGANA,ADILABAD,1922,971.748
TELANGANA,ADILABAD,1923,767.562
TELANGANA,ADILABAD,1924,888.453
TELANGANA,ADILABAD,1925,981.854
TELANGANA,ADILABAD,1926,858.864
TELANGANA,ADILABAD,1927,1049.06
TELANGANA,ADILABAD,1928,961.935
TELANGANA,ADILABAD,1929,776.782
TELANGANA,ADILABAD,1930,943.116
TELANGANA,ADILABAD,1931,1279.897
TELANGANA,ADILABAD,1932,993.136
TELANGANA,ADILABAD,1933,1294.354
TELANGANA,ADILABAD,1934,1017.834
TELANGANA,ADILABAD,1935,1012.916
TELANGANA,ADILABAD,1936,1262.973
TELANGANA,ADILABAD,1937,885.986
TELANGANA,ADILABAD,1938,1285.567
TELANGANA,ADILABAD,1939,730.774
TELANGANA,ADILABAD,1940,1080.356
TELANGANA,ADILABAD,1941,654.796
TELANGANA,ADILABAD,1942,992.97
TELANGANA,ADILABAD,1943,972.121
TELANGANA,ADILABAD,1944,1062.363
TELANGANA,ADILABAD,1945,1074.237
TELANGANA,ADILABAD,1946,932.738
TELANGANA,ADILABAD,1947,1108.235
TELANGANA,ADILABAD,1948,1036.178
TELANGANA,ADILABAD,1949,1338.613
TELANGANA,ADILABAD,1950,756.483
TELANGANA,ADILABAD,1951,999.073
TELANGANA,ADILABAD,1952,776.723
TELANGANA,ADILABAD,1953,1197.29
TELANGANA,ADILABAD,1954,1033.799
TELANGANA,ADILABAD,1955,1250.678
TELANGANA,ADILABAD,1956,1129.198
TELANGANA,ADILABAD,1957,946.381
TELANGANA,ADILABAD,1958,964.423
TELANGANA,ADILABAD,1959,1560.376
TELANGANA,ADILABAD,1960,806.431
TELANGANA,ADILABAD,1961,1147.263
TELANGANA,ADILABAD,1962,1038.377
TELANGANA,ADILABAD,1963,1153.8
TELANGANA,ADILABAD,1964,1001.283
TELANGANA,ADILABAD,1965,992.33
TELANGANA,ADILABAD,1966,1082.395
TELANGANA,ADILABAD,1967,856.496
TELANGANA,ADILABAD,1968,816.696
TELANGANA,ADILABAD,1969,985.242
TELANGANA,ADILABAD,1970,1030.315
TELANGANA,ADILABAD,1971,854.789
TELANGANA,ADILABAD,1972,627.768
TELANGANA,ADILABAD,1973,1164.97
TELANGANA,ADILABAD,1974,715.503
TELANGANA,ADILABAD,1975,1327.092
TELANGANA,ADILABAD,1976,946.907
TELANGANA,ADILABAD,1977,922.589
TELANGANA,ADILABAD,1978,1194.202
